cpt	cpf	cpit	cpif	cprandfftt	cprandfftf	cprandt	cprandf
2.567986152	0.909197226793681	0.473047135	0.869934509616553	1.823045379	0.862702822181767	0.157044472	0.872133824750748
3.006109691	0.935177680563456	0.913998022	0.942694397065613	2.065818957	0.984071588220937	0.357210547	0.975310595184691
3.401595561	0.947212784314562	1.375285417	0.949487666319229	2.29752376	0.987032073942399	0.531918075	0.981329401368893
3.813426589	0.953139143608774	1.872300683	0.951718910184726	2.526218933	0.988027358529643	0.698939424	0.982972008350245
4.220834869	0.957125010501176	2.329626205	0.953391908131216	2.785732246	0.988906077918673	0.872472787	0.979552454981633
4.622781005	0.96008232961019	2.823022202	0.954853305512676	3.016096542	0.98881226003186	1.057853253	0.98517047923644
5.017861321	0.9624204165591	3.379395928	0.956256047431336	3.246954776	0.988720482822462	1.250631333	0.987687332811753
5.410777872	0.964345651809265	3.963686445	0.957657001918285	3.476611898	0.988943215860922	1.441457201	0.986995903013913
5.804878863	0.965975743498557	4.492925844	0.959053770088481	3.714637268	0.988920213224524	1.623829791	0.987702106874842
6.197653887	0.967384579876973	4.993444898	0.960409719161927	3.944619046	0.988951686775522	1.821008529	0.988418053047424
6.597354385	0.968621652380538	5.571174302	0.961678697849264	4.173404097	0.988640150469405	1.997821859	0.988012269471401
6.993721933	0.969721719710093	6.029330333	0.962828975305523	4.403517467	0.988750005169093	2.184390215	0.987658104174546
7.389720379	0.970710108267203	6.494778814	0.963858463737427	4.644502396	0.988689950015659	2.373994356	0.987601553005882
7.793240741	0.97160582408823	6.997577141	0.964798976379964	4.875097542	0.988497402031997	2.563222593	0.987457012145184
8.197369073	0.972423479769656	7.526327452	0.965716120583557	5.102286608	0.988447927184218	2.742403498	0.987896038314803
8.591838772	0.973174540712199	8.054877598	0.966714323889793	5.355659204	0.98858342672286	2.925509794	0.987415871782204
8.986888408	0.973868160307901	8.684905054	0.967947988475353	5.592328427	0.988859092512873	3.116222149	0.987480777911189
9.389063804	0.974511756499339	9.176003523	0.969587850891388	5.819917228	0.988747116271213	3.296106167	0.987705034846078
9.799603779	0.975111420004332	9.675611476	0.971527912880452	6.048600191	0.988760314119412	3.470278021	0.987939477264357
10.203509286	0.975672209779463	10.15048718	0.973014405353555	6.276569477	0.988865909670588	3.639951808	0.987835367195009
10.603406553	0.97619837104023	10.626913594	0.973912989519298	6.50720022	0.988644611160168	3.810870763	0.988042030525987
10.998248485	0.976693498912554	11.202083565	0.976919923890355	6.735660971	0.988706124054171	3.975937076	0.987847598316204
11.395019296	0.977160663162662	11.681664905	0.977191478590678	6.96355384	0.988799058311652	4.149636836	0.987796039047325
11.788715003	0.97760250457281	12.227428534	0.977314272346773	7.193549268	0.988669030175397	4.326784637	0.987876126864973
12.184443348	0.978021310334311	12.735106939	0.977408546222694	7.425376486	0.988854955228998	4.498483272	0.988081333634074
12.575174263	0.978419073691366	13.20042769	0.97748973644847	7.6728892	0.988750275187379	4.670874683	0.98757259494137
13.006115622	0.978797541609884	13.701605685	0.977564084619273	7.909453386	0.988790354833566	4.841306982	0.986665924916259
13.402349499	0.979158253233629	14.183780223	0.9776348140868	8.139035124	0.988626990867053	5.008868004	0.986298427604199
13.797232856	0.979502571175931	14.795280655	0.977703855690102	8.368611541	0.989224347451629	5.179677104	0.987520451148358
14.193352819	0.979831707184186	15.233206739	0.977772469707147	8.599383613	0.988812172545894	5.371723611	0.988358335683824
14.589535266	0.98014674334392	15.650584426	0.977841530535491	8.835632141	0.988620096449113	5.539751854	0.987720892178984
14.981185179	0.980448649717113	16.057469487	0.977911672616144	9.078722478	0.988973680641438	5.714081136	0.987108264627362
15.380309639	0.980738299107955	16.473433751	0.977983372214427	9.321723571	0.988840612794815	5.891181392	0.987336266410811
15.777684885	0.98101647949609	16.868212016	0.978056995736114	9.557793485	0.988764520216354	6.065936874	0.987622611712393
16.177106247	0.981283904565072	17.259569623	0.978132828609372	9.787641694	0.988969657792809	6.251156904	0.987767294170118
16.570143079	0.981541222662832	17.654043157	0.978211092277542	10.017294289	0.988657286516407	6.427413393	0.986853171919118
16.969842602	0.981789024465618	18.048201101	0.978291954185086	10.246829346	0.989110120584138	6.59446819	0.9867533560662
17.364819152	0.982027849562676	18.438076233	0.978375534548712	10.479174291	0.988649568830152	6.760680603	0.987870039038452
17.760429639	0.982258192138253	18.868794426	0.978461913430903	10.717936401	0.988522143579862	6.930128217	0.987133828691595
18.160597197	0.982480505894457	19.352091712	0.978551141896873	10.948179094	0.988600666874779	7.096217005	0.987645867428783
18.554895268	0.982695208332967	19.809671427	0.978643261726366	11.177373615	0.988953006466609	7.262356654	0.988125724355052
18.961122988	0.98290268449273	20.230113665	0.97873833924083	11.407444486	0.9891222110571	7.428474611	0.987507952284102
19.360793328	0.983103290223849	20.663928113	0.978836520423097	11.643637548	0.988658083110496	7.641639645	0.987717403765198
19.75894122	0.983297355064854	21.087288727	0.978938117108619	11.877422091	0.988810209683715	7.81432301	0.987963935252659
20.164623456	0.983485184779107	21.490500207	0.979043738801699	12.108210089	0.988842216858832	7.985593995	0.988584733976602
20.556112384	0.983667063597464	21.916919643	0.97915449432098	12.335683997	0.988971525284882	8.163474326	0.987944512143446
20.952695395	0.983843256206864	22.313360007	0.979272307983919	12.566102202	0.988807538065981	8.340488546	0.987038136303327
21.353570038	0.98401400951812	22.731102984	0.979400439849389	12.812566709	0.988715414900186	8.506323379	0.987940347214953
21.761778296	0.984179554241811	23.253723743	0.979544400834031	13.040691951	0.988637161773133	8.694019684	0.987505798047562
22.157817124	0.98434010629642	23.680614982	0.979713694812144	13.271000989	0.988819867052887	8.862697726	0.987458061338953
22.555083225	0.984495868069201	24.086375132	0.97992543797604	13.503064591	0.988872200064031	9.029032547	0.988172823780166
22.969672146	0.984647029548391	24.564815548	0.980212633953993	13.744874624	0.98884805740234	9.203311889	0.988348742870285
23.408556563	0.984793769341281	24.989599983	0.980645141021031	13.974042782	0.988511747108654	9.373325488	0.98801086427262
23.869032407	0.984936255592198	25.411427125	0.981387500811577	14.202074316	0.988975420828246	9.536823415	0.986686308510775
24.263401833	0.985074646811392	25.831935149	0.982841633235572	14.432122822	0.988881999786827	9.702323857	0.986754983936638
24.656092997	0.985209092625011	26.269349265	0.985529517859691	14.661886222	0.988553104507173	9.861485519	0.988131184851889
25.057502728	0.985339734455269	26.690968019	0.988034802594597	14.891784639	0.988941475893024	10.019698707	0.987258977316034
